annee;Commune;Localite;Date;Heure;Espece;Sexe;Repro;Age;AB;D5 ;D3 ;Masse ;MF ;DC ;Milieu;Commentaire;N° prélèvement (tissu);N° prélèvement (mouche);Photo;QU ;TB ;PI ;TG ;OR ;CA ;CO ;PO ;MC2 ;MC3 ;MC4 ;MC5 (mm);PH12 (mm);PH22 (mm);PH13 (mm);PH23 (mm);PH33 (mm);PH14 (mm);PH24 (mm);PH15 (mm);PH25 (mm)
2014;SAINT GEORGES;PISTE ARMONTABO;28-oct-14;;ARTLIT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;SAINT GEORGES;PISTE ARMONTABO;28-oct-14;;ARTLIT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;SAINT GEORGES;PISTE ARMONTABO;28-oct-14;;ARTLIT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;SAINT GEORGES;PISTE ARMONTABO;28-oct-14;;ARTOBS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;SAINT GEORGES;PISTE ARMONTABO;28-oct-14;;ARTOBS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;SAINT GEORGES;PISTE ARMONTABO;28-oct-14;;ARTOBS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;SAINT GEORGES;PISTE ARMONTABO;28-oct-14;;ARTPLA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;SAINT GEORGES;PISTE ARMONTABO;28-oct-14;;CARPER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;SAINT GEORGES;PISTE ARMONTABO;28-oct-14;;HSUTOM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;SAINT GEORGES;PISTE ARMONTABO;28-oct-14;;MESMAC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;SAINT GEORGES;PISTE ARMONTABO;28-oct-14;;RHIPUM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;SAINT GEORGES;PISTE ARMONTABO;28-oct-14;;RHIPUM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;SAINT GEORGES;PISTE ARMONTABO;28-oct-14;;STUTIL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;SAINT GEORGES;PISTE ARMONTABO;28-oct-14;;UROBIL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;SAINT GEORGES;PISTE ARMONTABO;28-oct-14;;UROBIL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;SAINT GEORGES;PISTE ARMONTABO;28-oct-14;;UROBIL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;SAINT GEORGES;PISTE ARMONTABO;30-oct-14;;CARPER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;SAINT GEORGES;PISTE ARMONTABO;30-oct-14;;CARPER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;SAINT GEORGES;PISTE ARMONTABO;30-oct-14;;CARPER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;SAINT GEORGES;PISTE ARMONTABO;30-oct-14;;DESROT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;SAINT GEORGES;PISTE ARMONTABO;30-oct-14;;LOPSIL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;SAINT GEORGES;PISTE ARMONTABO;30-oct-14;;LOPSIL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;SAINT GEORGES;PISTE ARMONTABO;30-oct-14;;PHYELO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;SAINT GEORGES;PISTE ARMONTABO;30-oct-14;;PTERUB/ALI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;MACOURIA;LYCEE DE MATITI;13-nov-14;;MOLMOL;;;;;;;;;;;HORS CAPTURE;;;;;;;;;;;;;;;;;;;;;;;;
2014;MACOURIA;LYCEE DE MATITI;13-nov-14;;RHYNAS;;;;;;;;;;;HORS CAPTURE;;;;;;;;;;;;;;;;;;;;;;;;
2014;MACOURIA;LYCEE DE MATITI;24-nov-14;;MOLMOL;;;;;;;;;;;HORS CAPTURE;;;;;;;;;;;;;;;;;;;;;;;;
2015;ROURA;MARINA DE ROURA;6-Feb-15;;VAMBRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;MACOURIA;LYCEE DE MATITI;12-Feb-15;;MOLRUF;F;0;;58;;;;;;;HORS CAPTURE;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;ARTPLA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;FURHOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;SAINT GEORGES;SAUT MARIPA;20-Feb-15;;MOLMOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
