"","COMMUNE","LIEU_DIT","Date","Espèce","Sexe","Repro","Age","Year","julian_day","LAT","LON","Lune"
"1","KOUROU","SAVANE MATITI SUD","05-02-2016","STUTIL",FALSE,2,"AD",2016,51,5.04555555555556,-52.5799972222222,0.0785605208094927
"2","REGINA","SAVANE ROCHE VIRGINIE","27-03-2016","SACBIL",FALSE,2,"AD",2016,79,4.19642222222222,-52.1518638888889,0.826884713686821
"3","MACOURIA","SENTIER MILLE ET UNE OBS","06-07-2016","PHYHAS",FALSE,0,"AD",2016,201,5.03073611111111,-52.5669333333333,0.031478501057022
"4","SAINT LAURENT","CARBET ADNG","13-09-2016","ARTOBS",FALSE,1,"AD",2016,263,5.55910555555556,-53.9416916666667,0.891851783321591
"5","SAINT LAURENT","CARBET ADNG","15-09-2016","HSUTOM",FALSE,4,"AD",2016,263,5.55910555555556,-53.9416916666667,0.985110748447459
"6","ROURA","SENTIER DU MOLOKOI","25-10-2016","CARPER",FALSE,4,"AD",2016,293,4.55693888888889,-52.4514888888889,0.299726385201772
"7","ROURA","SENTIER DU MOLOKOI","25-10-2016","GARCRE",FALSE,2,"AD",2016,293,4.55693888888889,-52.4514888888889,0.299726385201772
"8","ROURA","SENTIER DU MOLOKOI","25-10-2016","GLOSOR",FALSE,4,"AD",2016,293,4.55693888888889,-52.4514888888889,0.299726385201772
"9","ROURA","SENTIER DU MOLOKOI","25-10-2016","MIMBEN",FALSE,0,"AD",2016,293,4.55693888888889,-52.4514888888889,0.299726385201772
"10","ROURA","SENTIER DU MOLOKOI","25-10-2016","PTERUB/ALI",FALSE,2,"AD",2016,293,4.55693888888889,-52.4514888888889,0.299726385201772
"11","ROURA","SENTIER DU MOLOKOI","26-10-2016","CARPER",FALSE,2,"AD",2016,293,4.55693888888889,-52.4514888888889,0.207498924601959
"12","MACOURIA","SENTIER MILLE ET UNE OBS","04-01-2017","ARTOBS",FALSE,2,"AD",2017,20,5.03073611111111,-52.5669333333333,0.40592856456409
"13","MACOURIA","SENTIER MILLE ET UNE OBS","04-01-2017","ARTPLA",FALSE,2,"AD",2017,20,5.03073611111111,-52.5669333333333,0.40592856456409
"14","MACOURIA","SENTIER MILLE ET UNE OBS","04-01-2017","CARPER",FALSE,2,"AD",2017,20,5.03073611111111,-52.5669333333333,0.40592856456409
"15","MACOURIA","SENTIER MILLE ET UNE OBS","04-01-2017","CARPER",FALSE,2,"AD",2017,20,5.03073611111111,-52.5669333333333,0.40592856456409
"16","MACOURIA","SENTIER MILLE ET UNE OBS","04-01-2017","DERCIN",FALSE,2,"AD",2017,20,5.03073611111111,-52.5669333333333,0.40592856456409
"17","MACOURIA","SENTIER MILLE ET UNE OBS","04-01-2017","DESROT",FALSE,2,"AD",2017,20,5.03073611111111,-52.5669333333333,0.40592856456409
"18","REGINA","PISTE INERY","25-03-2017","CARPER",FALSE,0,"AD",2017,79,4.31559166666667,-52.1539027777778,0.0490253062549905
"19","REGINA","PISTE INERY","25-03-2017","CARPER",FALSE,4,"AD",2017,79,4.31559166666667,-52.1539027777778,0.0490253062549905
"20","REGINA","PISTE INERY","26-03-2017","ARTPLA",FALSE,2,"AD",2017,79,4.31559166666667,-52.1539027777778,0.0135994248314588
"21","REGINA","PISTE INERY","26-03-2017","CARPER",FALSE,4,"AD",2017,79,4.31559166666667,-52.1539027777778,0.0135994248314588
"22","REGINA","PISTE INERY","26-03-2017","CARPER",FALSE,4,"AD",2017,79,4.31559166666667,-52.1539027777778,0.0135994248314588
"23","REGINA","PISTE INERY","26-03-2017","CARPER",FALSE,2,"AD",2017,79,4.31559166666667,-52.1539027777778,0.0135994248314588
"24","REGINA","PISTE INERY","26-03-2017","CARPER",FALSE,2,"AD",2017,79,4.31559166666667,-52.1539027777778,0.0135994248314588
"25","REGINA","PISTE INERY","26-03-2017","CARPER",FALSE,2,"AD",2017,79,4.31559166666667,-52.1539027777778,0.0135994248314588
"26","REGINA","PISTE INERY","26-03-2017","PTERUB/ALI",FALSE,4,"AD",2017,79,4.31559166666667,-52.1539027777778,0.0135994248314588
"27","REGINA","PISTE INERY","26-03-2017","RHIPUM",FALSE,2,"AD",2017,79,4.31559166666667,-52.1539027777778,0.0135994248314588
"28","REGINA","PISTE INERY","26-03-2017","RHIPUM",FALSE,2,"AD",2017,79,4.31559166666667,-52.1539027777778,0.0135994248314588
"29","REGINA","PISTE INERY","27-03-2017","ARTPLA",FALSE,2,"AD",2017,79,4.31559166666667,-52.1539027777778,0.000110207476144319
"30","REGINA","PISTE INERY","27-03-2017","CARPER",FALSE,4,"AD",2017,79,4.31559166666667,-52.1539027777778,0.000110207476144319
"31","MACOURIA","LYCEE DE MATITI","16-04-2017","MOLMOL",FALSE,2,"AD",2017,111,5.03501944444444,-52.5639361111111,0.730007072567491
"32","MACOURIA","LYCEE DE MATITI","16-04-2017","MOLMOL",FALSE,2,"AD",2017,111,5.03501944444444,-52.5639361111111,0.730007072567491
"33","MACOURIA","LYCEE DE MATITI","16-04-2017","MOLMOL",FALSE,2,"AD",2017,111,5.03501944444444,-52.5639361111111,0.730007072567491
"34","MACOURIA","LYCEE DE MATITI","16-04-2017","MOLMOL",FALSE,2,"AD",2017,111,5.03501944444444,-52.5639361111111,0.730007072567491
"35","MACOURIA","LYCEE DE MATITI","16-04-2017","MOLMOL",FALSE,2,"AD",2017,111,5.03501944444444,-52.5639361111111,0.730007072567491
"36","MACOURIA","LYCEE DE MATITI","16-04-2017","MOLMOL",FALSE,2,"AD",2017,111,5.03501944444444,-52.5639361111111,0.730007072567491
"37","MACOURIA","LYCEE DE MATITI","16-04-2017","MOLMOL",FALSE,2,"AD",2017,111,5.03501944444444,-52.5639361111111,0.730007072567491
"38","MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL",FALSE,2,"AD",2017,110,5.03501944444444,-52.5639361111111,0.631071609048532
"39","MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL",FALSE,2,"AD",2017,110,5.03501944444444,-52.5639361111111,0.631071609048532
"40","MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL",FALSE,2,"AD",2017,110,5.03501944444444,-52.5639361111111,0.631071609048532
"41","MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL",FALSE,2,"AD",2017,110,5.03501944444444,-52.5639361111111,0.631071609048532
"42","MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL",FALSE,2,"AD",2017,110,5.03501944444444,-52.5639361111111,0.631071609048532
"43","MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL",FALSE,2,"AD",2017,110,5.03501944444444,-52.5639361111111,0.631071609048532
"44","MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL",FALSE,2,"AD",2017,110,5.03501944444444,-52.5639361111111,0.631071609048532
"45","MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL",FALSE,2,"AD",2017,110,5.03501944444444,-52.5639361111111,0.631071609048532
"46","MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL",FALSE,2,"AD",2017,110,5.03501944444444,-52.5639361111111,0.631071609048532
"47","MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL",FALSE,2,"AD",2017,110,5.03501944444444,-52.5639361111111,0.631071609048532
"48","MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL",FALSE,2,"AD",2017,110,5.03501944444444,-52.5639361111111,0.631071609048532
"49","MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL",FALSE,2,"AD",2017,110,5.03501944444444,-52.5639361111111,0.631071609048532
"50","MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL",FALSE,2,"AD",2017,110,5.03501944444444,-52.5639361111111,0.631071609048532
"51","MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL",FALSE,2,"AD",2017,110,5.03501944444444,-52.5639361111111,0.631071609048532
"52","MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL",FALSE,2,"AD",2017,110,5.03501944444444,-52.5639361111111,0.631071609048532
"53","MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL",FALSE,2,"AD",2017,110,5.03501944444444,-52.5639361111111,0.631071609048532
"54","MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL",FALSE,2,"AD",2017,110,5.03501944444444,-52.5639361111111,0.631071609048532
