"COMMUNE","LIEU_DIT","Date","Espèce","Sexe","Repro","Age","Year","julian_day","LAT","LON","rain_mm","Temperature","ampli_Temp","wind_ms","Lune"
"KOUROU","SAVANE MATITI SUD","05-02-2016","STUTIL","F",2,"AD",2016,51,5.04555555555556,-52.5799972222222,NA,NA,NA,NA,0.0785605208094927
"REGINA","SAVANE ROCHE VIRGINIE","27-03-2016","SACBIL","F",2,"AD",2016,79,4.19642222222222,-52.1518638888889,0,NA,NA,NA,0.826884713686821
"MACOURIA","SENTIER MILLE ET UNE OBS","06-07-2016","PHYHAS","F",0,"AD",2016,201,5.03073611111111,-52.5669333333333,NA,NA,NA,NA,0.031478501057022
"SAINT LAURENT","CARBET ADNG","13-09-2016","ARTOBS","F",1,"AD",2016,263,5.55910555555556,-53.9416916666667,0,27.2,12.5,NA,0.891851783321591
"SAINT LAURENT","CARBET ADNG","15-09-2016","HSUTOM","F",4,"AD",2016,263,5.55910555555556,-53.9416916666667,0,27.2,12.5,NA,0.985110748447459
"ROURA","SENTIER DU MOLOKOI","25-10-2016","CARPER","F",4,"AD",2016,293,4.55693888888889,-52.4514888888889,0,NA,NA,NA,0.299726385201772
"ROURA","SENTIER DU MOLOKOI","25-10-2016","GARCRE","F",2,"AD",2016,293,4.55693888888889,-52.4514888888889,0,NA,NA,NA,0.299726385201772
"ROURA","SENTIER DU MOLOKOI","25-10-2016","GLOSOR","F",4,"AD",2016,293,4.55693888888889,-52.4514888888889,0,NA,NA,NA,0.299726385201772
"ROURA","SENTIER DU MOLOKOI","25-10-2016","MIMBEN","F",0,"AD",2016,293,4.55693888888889,-52.4514888888889,0,NA,NA,NA,0.299726385201772
"ROURA","SENTIER DU MOLOKOI","25-10-2016","PTERUB/ALI","F",2,"AD",2016,293,4.55693888888889,-52.4514888888889,0,NA,NA,NA,0.299726385201772
"ROURA","SENTIER DU MOLOKOI","26-10-2016","CARPER","F",2,"AD",2016,293,4.55693888888889,-52.4514888888889,0,NA,NA,NA,0.207498924601959
"MACOURIA","SENTIER MILLE ET UNE OBS","04-01-2017","ARTOBS","F",2,"AD",2017,20,5.03073611111111,-52.5669333333333,NA,NA,NA,NA,0.40592856456409
"MACOURIA","SENTIER MILLE ET UNE OBS","04-01-2017","ARTPLA","F",2,"AD",2017,20,5.03073611111111,-52.5669333333333,NA,NA,NA,NA,0.40592856456409
"MACOURIA","SENTIER MILLE ET UNE OBS","04-01-2017","CARPER","F",2,"AD",2017,20,5.03073611111111,-52.5669333333333,NA,NA,NA,NA,0.40592856456409
"MACOURIA","SENTIER MILLE ET UNE OBS","04-01-2017","CARPER","F",2,"AD",2017,20,5.03073611111111,-52.5669333333333,NA,NA,NA,NA,0.40592856456409
"MACOURIA","SENTIER MILLE ET UNE OBS","04-01-2017","DERCIN","F",2,"AD",2017,20,5.03073611111111,-52.5669333333333,NA,NA,NA,NA,0.40592856456409
"MACOURIA","SENTIER MILLE ET UNE OBS","04-01-2017","DESROT","F",2,"AD",2017,20,5.03073611111111,-52.5669333333333,NA,NA,NA,NA,0.40592856456409
"REGINA","PISTE INERY","25-03-2017","CARPER","F",0,"AD",2017,79,4.31559166666667,-52.1539027777778,0.6,NA,NA,NA,0.0490253062549905
"REGINA","PISTE INERY","25-03-2017","CARPER","F",4,"AD",2017,79,4.31559166666667,-52.1539027777778,0.6,NA,NA,NA,0.0490253062549905
"REGINA","PISTE INERY","26-03-2017","ARTPLA","F",2,"AD",2017,79,4.31559166666667,-52.1539027777778,0.6,NA,NA,NA,0.0135994248314588
"REGINA","PISTE INERY","26-03-2017","CARPER","F",4,"AD",2017,79,4.31559166666667,-52.1539027777778,0.6,NA,NA,NA,0.0135994248314588
"REGINA","PISTE INERY","26-03-2017","CARPER","F",4,"AD",2017,79,4.31559166666667,-52.1539027777778,0.6,NA,NA,NA,0.0135994248314588
"REGINA","PISTE INERY","26-03-2017","CARPER","F",2,"AD",2017,79,4.31559166666667,-52.1539027777778,0.6,NA,NA,NA,0.0135994248314588
"REGINA","PISTE INERY","26-03-2017","CARPER","F",2,"AD",2017,79,4.31559166666667,-52.1539027777778,0.6,NA,NA,NA,0.0135994248314588
"REGINA","PISTE INERY","26-03-2017","CARPER","F",2,"AD",2017,79,4.31559166666667,-52.1539027777778,0.6,NA,NA,NA,0.0135994248314588
"REGINA","PISTE INERY","26-03-2017","PTERUB/ALI","F",4,"AD",2017,79,4.31559166666667,-52.1539027777778,0.6,NA,NA,NA,0.0135994248314588
"REGINA","PISTE INERY","26-03-2017","RHIPUM","F",2,"AD",2017,79,4.31559166666667,-52.1539027777778,0.6,NA,NA,NA,0.0135994248314588
"REGINA","PISTE INERY","26-03-2017","RHIPUM","F",2,"AD",2017,79,4.31559166666667,-52.1539027777778,0.6,NA,NA,NA,0.0135994248314588
"REGINA","PISTE INERY","27-03-2017","ARTPLA","F",2,"AD",2017,79,4.31559166666667,-52.1539027777778,0.6,NA,NA,NA,0.000110207476144319
"REGINA","PISTE INERY","27-03-2017","CARPER","F",4,"AD",2017,79,4.31559166666667,-52.1539027777778,0.6,NA,NA,NA,0.000110207476144319
"MACOURIA","LYCEE DE MATITI","16-04-2017","MOLMOL","F",2,"AD",2017,111,5.03501944444444,-52.5639361111111,NA,NA,NA,NA,0.730007072567491
"MACOURIA","LYCEE DE MATITI","16-04-2017","MOLMOL","F",2,"AD",2017,111,5.03501944444444,-52.5639361111111,NA,NA,NA,NA,0.730007072567491
"MACOURIA","LYCEE DE MATITI","16-04-2017","MOLMOL","F",2,"AD",2017,111,5.03501944444444,-52.5639361111111,NA,NA,NA,NA,0.730007072567491
"MACOURIA","LYCEE DE MATITI","16-04-2017","MOLMOL","F",2,"AD",2017,111,5.03501944444444,-52.5639361111111,NA,NA,NA,NA,0.730007072567491
"MACOURIA","LYCEE DE MATITI","16-04-2017","MOLMOL","F",2,"AD",2017,111,5.03501944444444,-52.5639361111111,NA,NA,NA,NA,0.730007072567491
"MACOURIA","LYCEE DE MATITI","16-04-2017","MOLMOL","F",2,"AD",2017,111,5.03501944444444,-52.5639361111111,NA,NA,NA,NA,0.730007072567491
"MACOURIA","LYCEE DE MATITI","16-04-2017","MOLMOL","F",2,"AD",2017,111,5.03501944444444,-52.5639361111111,NA,NA,NA,NA,0.730007072567491
"MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL","F",2,"AD",2017,110,5.03501944444444,-52.5639361111111,NA,NA,NA,NA,0.631071609048532
"MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL","F",2,"AD",2017,110,5.03501944444444,-52.5639361111111,NA,NA,NA,NA,0.631071609048532
"MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL","F",2,"AD",2017,110,5.03501944444444,-52.5639361111111,NA,NA,NA,NA,0.631071609048532
"MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL","F",2,"AD",2017,110,5.03501944444444,-52.5639361111111,NA,NA,NA,NA,0.631071609048532
"MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL","F",2,"AD",2017,110,5.03501944444444,-52.5639361111111,NA,NA,NA,NA,0.631071609048532
"MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL","F",2,"AD",2017,110,5.03501944444444,-52.5639361111111,NA,NA,NA,NA,0.631071609048532
"MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL","F",2,"AD",2017,110,5.03501944444444,-52.5639361111111,NA,NA,NA,NA,0.631071609048532
"MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL","F",2,"AD",2017,110,5.03501944444444,-52.5639361111111,NA,NA,NA,NA,0.631071609048532
"MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL","F",2,"AD",2017,110,5.03501944444444,-52.5639361111111,NA,NA,NA,NA,0.631071609048532
"MACOURIA","LYCEE DE MATITI","17-04-2017","MOLMOL","F",2,"AD",2017,110,5.03501944444444,-52.5639361111111,NA,NA,NA,NA,0.631071609048532
