Id_observation;date;hour;moment_of_the day;wind;weather;name;sexe;size;age;temperature;habitat;position_giraffes_to_the_sun;exposure_to_the_sun;location_GPS;start_hour;end_hour;duration_of_one_position;general_behaviour 
ba7b8ed6;21/09/2022;09:16:30;morning;no;overcast;Felix;male;sub_adult;2;19;open_woodland;NA;cloudy_day_no_shade;-22.734062, 28.779563;NA;NA;NA;foraging
0bd7ce36;21/09/2022;09:31:40;morning;no;overcast;Kagiso;female;adult;8;19;open_woodland;NA;cloudy_day_no_shade;-22.734461, 28.779374;NA;NA;NA;foraging 
c3e06a4d;22/09/2022;08:47:46;morning;little;overcast;Sun;male;adult;9;19;open_grassland;NA;cloudy_day_no_shade;-22.727669, 28.787646;08:45:00;08:45:00;0;foraging 
1a42de6b;22/09/2022;11:53:22;morning;little;overcast;Nala;female;adult;10;23;open_shrubland;NA;cloudy_day_no_shade;-22.734471, 28.787167;11:53:00;11:53:00;0;foraging 
47636afe;22/09/2022;12:35:23;midday;moderate;overcast;Emily;female;adult;26;25;open_woodland;NA;cloudy_day_no_shade;-22.727557, 28.777793;12:35:00;12:35:00;0;foraging
38e3ab13;26/09/2022;06:43:47;morning;no;sunny;Forest;male;adult;5;18;open_woodland;225°;partially_in_shade;-22.726415, 28.773882;06:40:00;06:55:00;15;inactive
60aa5a0e;26/09/2022;07:50:32;morning;little;sunny;Flamenkuchen;male;sub_adult;3;23;close_shrubland;45°;giraffe_in_full_shade;-22.744298, 28.780411;07:48:00;07:57:00;9;foraging , 
7b6354e2;26/09/2022;08:10:13;morning;no;sunny;Aquarius;male;adult;9;24;close_shrubland;270°;partially_in_shade;-22.744026, 28.779557;08:10:00;08:14:00;4;foraging 
715d8b50;26/09/2022;08:18:36;morning;little;sunny;Flamenkuchen;male;sub_adult;3;24;close_shrubland;180°;fully_exposed_to_the_sun;-22.744029, 28.779615;08:18:00;08:22:00;4;foraging 
1a5b679a;26/09/2022;08:23:10;morning;little;sunny;Flamenkuchen;male;sub_adult;3;26;close_shrubland;45°;partially_in_shade;-22.744048, 28.779619;08:23:00;08:28:00;5;foraging
aabb81b6;26/09/2022;08:44:30;morning;little;sunny;Charlie;male;adult;7;27;close_shrubland;0°;partially_in_shade;-22.743608, 28.778454;08:44:00;08:48:00;4;foraging 
f134534b;28/09/2022;09:10:21;morning;strong;sunny;Kagiso;female;adult;8;27;open_woodland;315°;giraffe_in_full_shade;-22.731462, 28.780007;09:10:00;09:15:00;5;foraging
de83652d;28/09/2022;09:15:54;morning;strong;sunny;Kagiso;female;adult;8;27;open_woodland;90°;fully_exposed_to_the_sun;-22.731467, 28.779999;09:15:00;09:19:00;4;foraging
0f8c5916;28/09/2022;09:20:36;morning;strong;sunny;Kagiso;female;adult;8;28;open_woodland;270°;partially_in_shade;-22.731495, 28.779990;09:20:00;09:22:00;2;foraging
b78b3810;28/09/2022;16:46:03;evening;strong ;sunny;Lovely;male;adult;12;30;open_woodland;135°;partially_in_shade;-22.735804, 28.777440;16:53:00;16:55:00;2;foraging
a5935029;28/09/2022;16:56:36;evening;strong;sunny;Lovely;male;adult;12;30;open_woodland;45°;giraffe_in_full_shade;-22.735810, 28.777450;16:56:00;16:59:00;3;foraging
864dc90a;28/09/2022;17:00:23;evening;strong;sunny;Lovely;male;adult;12;30;open_woodland;225°;fully_exposed_to_the_sun;-22.735772, 28.777416;17:00:00;17:00:00;2;drinking
9c37f529;29/09/2022;10:08:35;morning;moderate;sunny;Emily;female;adult;26;26;open_shrubland;NA;fully_exposed_to_the_sun;-22.714800, 28.806287;10:08:00;10:08:00;0;foraging
587e005b;03/10/2022;06:17:23;morning;no;sunny;Kagiso;female;adult;8;19;open_woodland;45°;partially_in_shade;-22.728182, 28.778995;06:17:00;06:21:00;4;foraging
a5b00237;03/10/2022;06:21:57;morning;no;sunny;Kagiso;female;adult;8;19;open_woodland;0°;partially_in_shade;-22.728243, 28.778957;06:21:00;06:25:00;4;foraging
fb611ebc;03/10/2022;06:25:34;morning;no;sunny;Kagiso;female;adult;8;19;open_woodland;270°;partially_in_shade;-22.728250, 28.778979;06:25:00;06:32:00;6;foraging
5be603af;03/10/2022;06:38:49;morning;no;sunny;Polp;male;adult;16;20;close_shrubland;135°;partially_in_shade;-22.728363, 28.778943;06:38:00;06:42:00;4;foraging
4583382a;03/10/2022;06:41:39;morning;no;sunny;Polp;male;adult;16;20;close_shrubland;180°;fully_exposed_to_the_sun;-22.728322, 28.778946;06:42:00;06:45:00;3;foraging
ed0a5348;03/10/2022;06:45:36;morning;no;sunny;Polp;male;adult;16;20;close_shrubland;90°;partially_in_shade;-22.728322, 28.778946;06:45:00;06:47:00;2;vigilant
